parent_top,subcategory,count_in_parent,description
Evidence Retrieval Omission,Query Planning Failure,3,"Agent uses haphazard, repetitive, or overly narrow queries instead of planning targeted searches for required evidence."
Evidence Retrieval Omission,Source Type Selection,4,"Agent chooses an inappropriate, incomplete, or non-authoritative source type when another evidence source is required."
Search Recovery Failure,Timeout Adaptation Failure,20,"Agent responds to timeouts with ineffective alternate settings, tools, or scopes, excluding identical retry loops or immediate abandonment."
Search Recovery Failure,Evidence Retrieval Failure,8,"Agent does not retrieve required evidence from available results or known locations, excluding access, pagination, identifier, validation, or timeout problems."
Search Recovery Failure,Result Application Failure,1,"Agent obtains enough search information but fails to use it for the required final update, addition, answer, or submission."
Search Recovery Failure,Query Repair Failure,4,"Agent fails to correct malformed, misspelled, wrong-field, or lookup-specific query text after explicit errors or mismatches."
Search Recovery Failure,Timeout Retry Loop,9,"Agent repeatedly retries the same timed-out search without modifying approach until budget, execution, or submission opportunity is exhausted."
Search Recovery Failure,Search Reformulation Failure,7,Agent keeps a syntactically valid but ineffective query or scope after empty or poor results instead of trying meaningful alternatives.
Search Recovery Failure,Premature Timeout Abandonment,6,"Agent gives up, submits, or returns a non-answer after timeout before any reasonable retry or alternative recovery attempt."
Search Recovery Failure,Access Recovery Failure,1,"Agent ignores or mishandles permission, visibility, authentication, or resource availability errors that block search access."
Search Recovery Failure,Fetch Validation Failure,2,"Agent retrieves or cites documents without verifying result references, causing invalid, ungrounded, or wrong-target fetches."
Search Recovery Failure,Constraint Repair Failure,3,"Agent fails to correct invalid or overly restrictive filters, dates, facets, or structured parameters blocking search."
Search Recovery Failure,Identifier Resolution Failure,1,"Agent fails to extract or resolve required item, record, or document identifiers from results before lookup or action."
Search Recovery Failure,Hypothesis Refocusing Failure,1,Agent pursues drifting or unsupported hypotheses rather than narrowing alternatives using feedback from failed searches.
Search Recovery Failure,Source Switching Failure,1,"Agent fails to inspect alternative available sources, notes, records, or tools after the current source returns empty or insufficient results."
Other,Factuality Error,37,"Agent states unsupported, fabricated, or contradicted information not grounded in tool output or provided context."
Other,Reasoning Calculation Error,34,"Agent makes incorrect logical inference, comparison, counting, arithmetic, or multi-step reasoning."
Other,Other,150,
Other,Verification Error,6,"Agent does not check whether facts, calculations, actions, or final outputs satisfy the task."
Other,Premature Termination,59,"Agent stops, reports completion, or gives a final answer before required work is finished."
Other,Tool Invocation Error,40,"Agent uses the right tool with malformed parameters, wrong arguments, or incomplete required fields."
Other,Tool Selection Error,7,Agent chooses an inappropriate tool or omits a required tool for the intended action.
Other,User Communication Error,15,"Agent gives unclear, incomplete, misleading, or poorly scoped communication to the user."
Other,Error Recovery Error,27,"Agent fails to notice failures, retry appropriately, or adapt after exceptions, rejections, or empty results."
Other,Instruction Following Error,13,"Agent ignores, misapplies, or contradicts explicit user, system, or task instructions."
Other,Information Gathering Error,67,"Agent fails to seek, retrieve, inspect, or compare necessary information before deciding or acting."
Other,Planning Error,17,"Agent lacks a viable step sequence, decomposes poorly, or chooses a strategy that prevents completion."
Other,Looping Behavior,10,"Agent repeats actions, reasoning, or tool calls without making progress toward completion."
Other,Goal Tracking Error,7,"Agent loses the user's objective, switches tasks, or optimizes for the wrong success condition."
Other,Constraint Handling Error,49,"Agent fails to enforce stated limits, preferences, eligibility criteria, or exclusions while otherwise pursuing the correct task."
Other,Action Targeting Error,27,"Agent acts on the wrong item, record, location, or option despite knowing the intended operation."
Other,Tool Result Interpretation Error,21,"Agent misreads, ignores, or overgeneralizes information returned by tools."
Other,State Tracking Error,6,"Agent loses track of completed actions, environment state, or unresolved subtasks during execution."
Other,Context Retention Error,2,Agent forgets or misuses prior conversation details needed for later decisions.
Other,Clarification Seeking Error,4,Agent proceeds despite missing essential user input that should have been requested first.
Other,Output Formatting Error,2,"Agent provides an answer that violates required structure, schema, language, or delivery format."
Action Execution Error,Other,50,
Action Execution Error,Task Completion Omission,10,Starts but fails to finish a required single-item workflow when no more specific execution fault is evident.
Action Execution Error,Fix Localization Error,2,"Changes the wrong component, layer, module, hook, or responsibility boundary for the intended software fix."
Action Execution Error,Argument Specification Error,6,"Provides missing, wrong, or insufficient arguments, identifiers, fields, amounts, attachments, reasons, or payment details."
Action Execution Error,Edit Application Failure,4,"Fails to produce an applicable source change, submitting no edit, a malformed patch, or a no-op modification."
Action Execution Error,Item Coverage Omission,4,"Handles only some required items in a batch, list, collection, or multi-request task."
Action Execution Error,Workspace Hygiene Failure,3,"Leaves obsolete files, test artifacts, repository contamination, dirty working trees, or known failed-change remnants."
Action Execution Error,State Awareness Error,2,"Misreads current system state, such as existing records, pending operations, resource balances, pagination, or target modification status."
Action Execution Error,Step Sequencing Error,5,"Performs required steps in the wrong order or skips prerequisites, invalidating later actions or causing unsafe changes."
Action Execution Error,Confirmation Follow-through,5,"Fails to execute the approved action after explicit user confirmation, go-ahead, or selection."
Action Execution Error,Recovery Handling Omission,2,"Stops after a failed external operation instead of retrying, replenishing resources, recreating entities, or otherwise recovering."
Action Execution Error,Operation Selection Error,1,Chooses the wrong action or workflow for the user's requested outcome.
Action Execution Error,Fix Logic Error,3,"Applies a code change that is semantically incorrect, overbroad, regressive, or causes runtime failures."
Entity Resolution Error,Ambiguity Resolution Failure,36,Agent chooses among multiple plausible candidates without using available disambiguating context or constraints.
Entity Resolution Error,Entity Conflation,6,Agent incorrectly merges two or more distinct entities into one resolved entity.
Entity Resolution Error,Relationship Evidence Failure,7,"Agent misuses relational clues, affiliations, ownership, family links, or co-occurrence to decide entity identity."
Entity Resolution Error,Identifier Mapping Error,5,"Agent identifies the right entity concept but outputs the wrong record ID, link, handle, or canonical name."
Entity Resolution Error,Referent Tracking Failure,3,"Agent loses which entity a pronoun, shorthand, or prior turn refers to across context."
Entity Resolution Error,Attribute Comparison Failure,10,"Agent ignores or miscompares identifying attributes such as dates, locations, roles, titles, or metadata."
Entity Resolution Error,Scope Constraint Error,8,"Agent resolves to an entity outside the required dataset, domain, geography, permissions, or user-specified constraints."
Entity Resolution Error,Candidate Retrieval Failure,9,"Agent fails to retrieve or consider the correct candidate after recognizing the mention, excluding alias-only misses."
Entity Resolution Error,Mention Detection Failure,2,"Agent misses, adds, or incorrectly segments the entity mention that should be resolved."
Entity Resolution Error,Hard to Analyze,1,Insufficient evidence or ambiguous trajectory prevents confident assignment to a specific entity-resolution failure.
Entity Resolution Error,Alias Matching Failure,1,"Agent fails to link nicknames, abbreviations, spelling variants, transliterations, or renamed entities to the same entity."
Candidate Verification Failure,Submission Control Error,2,"Finalizes, withholds, or omits the required answer at the wrong time or through an invalid completion action."
Candidate Verification Failure,Other,50,
Candidate Verification Failure,Anchoring Fixation,7,"Persists with an initial candidate, lead, or hypothesis despite weak, false, unverified, or mismatching evidence."
Candidate Verification Failure,Unjustified Candidate Switching,3,"Replaces one candidate with another without evidential basis, causing unsupported substitution rather than persistent anchoring."
Candidate Verification Failure,Evidence Corroboration Failure,3,"Accepts or submits a candidate from weak, single, or incomplete support when independent corroboration is required."
Candidate Verification Failure,Conflict Reconciliation Failure,2,"Ignores, minimizes, or mishandles contradictions between evidence, records, constraints, or intermediate findings before deciding."
Candidate Verification Failure,Source Verification Failure,3,"Relies on speculative, secondhand, or surface evidence instead of checking authoritative source content."
Candidate Verification Failure,Constraint Validation Failure,5,"Fails to check explicit requirements such as dates, statuses, compatibility, quantities, eligibility, or cross-record constraints before selection."
Candidate Verification Failure,Entity Disambiguation Failure,4,"Fails to confirm the target entity, record, order, or referent before selecting or inferring a candidate."
Candidate Verification Failure,Premature Narrowing,2,"Narrows the search space, topic, item, or option set before sufficient alternative exploration or verification."
Candidate Verification Failure,Hard to Analyze,2,"Insufficient, ambiguous, or subjective information prevents confident attribution to a specific verification skill failure."
Candidate Verification Failure,Targeted Search Omission,1,"Skips specific searches, record lookups, or result inspection needed to test an already plausible candidate."
Candidate Verification Failure,Valid Candidate Rejection,1,"Rejects, abandons, or answers none despite a viable candidate with evidence that should remain under consideration."
Candidate Verification Failure,Variant Tie-Breaking Error,1,Selects among similar candidates using subjective preference or irrelevant differences instead of objective distinguishing evidence.
Candidate Verification Failure,Feasibility Assessment Failure,1,"Declares an option impossible or unavailable without testing viable alternatives, allowable modifications, or recovery paths."
Search Adaptation Failure,Query Reformulation Failure,5,"Fails to improve searches with better terms, constraints, filters, or operators when the issue is not primarily literal-wording fixation."
Search Adaptation Failure,Search Pivot Omission,10,Fails to shift to a new evidence-supported direction after the current search path has clearly stalled.
Search Adaptation Failure,Search Strategy Mismatch,13,"Chooses an unsuitable search method or target type despite clear task demands, when no narrower adaptation failure applies."
Search Adaptation Failure,Repetitive Retrieval Loop,10,"Repeats equivalent searches or retrievals without adding new constraints, sources, evidence, or a decision point."
Search Adaptation Failure,Lead Exploitation Failure,8,"Fails to inspect, verify, or continue pursuing a promising result or clue before moving on."
Search Adaptation Failure,Literal Query Fixation,7,"Clings to exact clue wording or surface matches, missing synonyms, paraphrases, broader concepts, or nonliteral evidence."
Search Adaptation Failure,Candidate Anchoring,7,"Overcommits to an irrelevant candidate, secondary clue, or false trail despite weak, absent, or contradictory evidence."
Search Adaptation Failure,Unsupported Pivoting,4,"Changes search direction without evidential support, abandoning useful context for speculative or unjustified alternatives."
Search Adaptation Failure,Source Diversification Failure,3,"Keeps using the same source class instead of trying alternative sources, documents, references, citations, or result types after stagnation."
Search Adaptation Failure,Scope Calibration Failure,4,"Uses overly broad, narrow, or off-topic search boundaries without committing to a distinct unsupported target or pivot."
Search Adaptation Failure,Query Decomposition Failure,3,"Does not split compound clues, entities, or constraints into smaller searchable subproblems before searching."
Search Adaptation Failure,Resolution Control Failure,6,"Cannot decide when to submit, stop, or fall back, causing non-submission, premature failure, or endless data collection."
Search Adaptation Failure,Entity Disambiguation Failure,2,"Fails to use distinguishing attributes to separate similarly named or related entities, without clear overcommitment to one false candidate."
Finalization Protocol Error,Answer Specificity Error,6,"Agent's final answer is underspecified, overspecified, partial, or missing required fields, independent of formatting."
Finalization Protocol Error,Final Submit Omission,9,Agent has a ready final answer but fails to invoke the required final submission action.
Finalization Protocol Error,Malformed Completion Signal,5,"Agent emits the completion signal with invalid type, fields, payload, target, or completion semantics."
Finalization Protocol Error,Verification Loop Nontermination,2,"Agent repeats checking, waiting, or self-verification despite sufficient information, never deciding to finalize."
Finalization Protocol Error,Submission Protocol Misuse,4,"Agent attempts final submission using wrong tool, call order, schema, or arguments, excluding completion-signal-specific errors."
Finalization Protocol Error,Search Exit Failure,12,"After search fails or remains unresolved, agent fails to submit a valid fallback, uncertainty statement, or best-effort answer."
Finalization Protocol Error,Retrieved Result Withholding,2,Agent obtains the needed information but fails to transform it into the final answer or submission.
Finalization Protocol Error,Answer Canonicalization Error,7,"Agent submits an alias, deprecated label, abbreviation, or otherwise noncanonical answer when an exact canonical form is required."
Finalization Protocol Error,Premature Termination,4,Agent stops or claims completion before deriving an answer or entering the mandated finalization step.
Finalization Protocol Error,Completion Signal Omission,3,Agent provides answer content but omits a separately required task-completion or done signal.
Finalization Protocol Error,Answer Formatting Error,2,"Agent gives the right content in an invalid structure, syntax, rendering, delimiter, or fallback symbol format."
Evidence Interpretation Error,Concept Disambiguation,9,"Conflates similarly worded labels, categories, or concepts, applying evidence for one meaning to a different intended meaning."
Evidence Interpretation Error,Relation Role Inversion,2,"Reverses opposing roles within a relationship, such as payer versus payee, debtor versus creditor, or clue holder versus target."
Evidence Interpretation Error,Field Extraction,6,"Misreads explicit values, names, counts, masks, or fields from structured records, files, tables, or result rows."
Evidence Interpretation Error,Source Attribution,9,"Assigns evidence to the wrong source, entity, or metadata field, or relies on a non-authoritative source of truth."
Evidence Interpretation Error,Temporal Interpretation,7,"Misinterprets dates, seasons, chronology, recency, historical versus current status, or past versus upcoming events."
Evidence Interpretation Error,Tool Output Interpretation,19,"Misinterprets meanings of tool or search outputs, including errors, empty results, filters, invalid queries, rankings, or returned status signals."
Evidence Interpretation Error,Constraint Matching,4,"Misreads non-temporal descriptive constraints, including geography, attributes, populations, occupations, awards, lore, or eligibility clues."
Evidence Interpretation Error,Availability Interpretation,8,"Misreads availability, eligibility, enabled states, blockers, pricing, payment status, inventory, baggage rules, or update outcomes."
Evidence Interpretation Error,Evidence Weighting,6,"Overvalues weak clues, dismisses decisive evidence, ignores corrections, or treats retrieved and relevant information as absent."
Evidence Interpretation Error,Cross-Source Synthesis,5,"Fails to link, reconcile, or aggregate relevant evidence across documents, records, search results, or sources before deciding."
Evidence Interpretation Error,Conflict Detection,4,"Misjudges whether reservations, itineraries, transactions, records, or conditions conflict, overlap, duplicate, or can coexist."
Unsupported Fabrication,Speculative Reframing,3,"Changes hypothesis, framing, or search direction based on hunches instead of evidence."
Unsupported Fabrication,Invented Record Details,9,"Fills unsupported lookup-dependent details such as orders, reservations, schedules, payments, cancellations, quantities, or statuses."
Unsupported Fabrication,Fabricated Evidence,17,"Creates nonexistent source data, quotes, notes, templates, citations, or evidence chains absent from available materials."
Unsupported Fabrication,Invented Policy Rules,13,"States unsupported eligibility, restrictions, requirements, guarantees, refunds, compensation, exception rules, or policy outcomes."
Unsupported Fabrication,Overextended Inference,7,"Derives general, causal, demographic, temporal, or distributional claims from evidence too weak to support them."
Unsupported Fabrication,Invented Terminology,3,"Creates unsupported meanings, acronyms, symbols, name expansions, translations, or etymologies."
Unsupported Fabrication,Premature Finalization,10,"Finalizes despite uncertainty when the key failure is not verifying, rather than a distinct fabricated claim type."
Unsupported Fabrication,Capability Misjudgment,1,"Misstates tool, system, or business capabilities, causing unavailable actions, unsupported escalation, or impossible automation."
Unsupported Fabrication,Ungrounded Entity Attribution,5,"Assigns unsupported facts, relationships, classifications, memberships, histories, or properties to a specific entity."
Unsupported Fabrication,Unsupported Diagnosis,6,"Asserts unsupported causes, troubleshooting conclusions, diagnostic tools, fixes, resets, or billing explanations."
Unsupported Fabrication,Invented Procedures,8,"Provides unsupported customer-facing steps, account changes, offers, returns, exchanges, removals, commands, or instructions."
Unsupported Fabrication,Ungrounded Entity Selection,5,"Selects or invents candidates, matches, cases, identifiers, or records without grounding in available evidence."
Unsupported Fabrication,Irrelevant Support,2,"Uses unrelated analogies, references, or sources as direct proof for claims requiring specific evidence."
Policy Eligibility Error,Fact Application,5,"Agent identifies the relevant rule but applies it to customer facts, remedy details, or order attributes incorrectly."
Policy Eligibility Error,Constraint Enforcement,12,"Agent fails to apply mandatory prerequisites, exclusions, or blockers that must override otherwise eligible requests."
Policy Eligibility Error,Rule Interpretation,14,"Agent misreads policy semantics, invents restrictions, or states allowed conditions incorrectly before applying customer facts."
Policy Eligibility Error,Outcome Classification,8,"Agent reaches the wrong eligible or ineligible verdict despite no primary interpretation, fact, calculation, scope, or constraint error."
Policy Eligibility Error,Payment Validation,4,"Agent misapplies payment method, funding source, authorization, or sufficient-funds rules that gate transaction eligibility."
Policy Eligibility Error,Request Differentiation,3,"Agent conflates distinct user intents or remedies, causing the wrong eligibility policy to be applied."
Policy Eligibility Error,Scope Recognition,5,"Agent misidentifies whether the request, product, account, or situation falls within the supported policy scope before evaluating eligibility."
Policy Eligibility Error,Eligibility Calculation,1,"Agent miscalculates thresholds, dates, counts, amounts, durations, or timing windows required for an eligibility decision."
Policy Eligibility Error,Guidance Completion,1,"Agent omits required eligibility conditions, next steps, or pending actions for conditional or partially eligible requests."
Diagnostic Protocol Error,Travel Context Assessment,24,"Omits travel or roaming context checks, including data-roaming settings, roaming blocks, or account/device roaming eligibility."
Diagnostic Protocol Error,Ordered Step Execution,10,Skips prescribed order or leaves the generic diagnostic flow incomplete when no specific missed check is identifiable.
Diagnostic Protocol Error,Network Configuration Validation,4,"Fails to validate APN, MMSC, or equivalent network configuration, or follows unsupported configuration branches."
Diagnostic Protocol Error,Usage Limit Assessment,14,"Skips, delays, or prematurely concludes checks for data caps, overage, throttling, or exhausted allotments."
Diagnostic Protocol Error,Line Status Verification,2,"Starts troubleshooting without confirming affected line, line status, or line-specific prerequisites."
Diagnostic Protocol Error,Messaging Workflow Completion,8,"Leaves MMS-specific diagnostic workflow incomplete, excluding network configuration and application permission checks."
Diagnostic Protocol Error,Device Component Diagnostics,5,"Skips handset, SIM, radio, or device-health diagnostics unrelated to contextual services, configuration, messaging, permissions, or local restrictions."
Diagnostic Protocol Error,Premature Detour Avoidance,3,"Diverts to billing, payment, repairs, or unsupported actions before required diagnostic prerequisites are completed."
Diagnostic Protocol Error,Account Status Verification,4,"Fails to verify account service status or account-level causes, excluding line identity, usage limits, and contextual services."
Diagnostic Protocol Error,Local Restriction Assessment,2,"Misses local device settings, such as data saver, that restrict service behavior."
Diagnostic Protocol Error,Application Permission Verification,2,"Misses required application permissions for SMS, MMS, or related messaging functions."
Diagnostic Protocol Error,Calling Feature Assessment,1,"Omits calling-feature capability, configuration, or service checks when Wi-Fi calling or equivalent features are implicated."
Diagnostic Protocol Error,Reproduction Evidence Handling,2,Misreproduces the issue or treats invalid reproduction evidence as diagnostic proof.
Diagnostic Protocol Error,Escalation Decision-Making,2,"Misjudges whether to escalate or dispatch, or routes support based on insufficient diagnosis."
Diagnostic Protocol Error,Diagnostic Branch Selection,3,Chooses an inappropriate diagnostic branch or workflow for the presented symptoms.
Diagnostic Protocol Error,Hard to Analyze,1,Evidence is too ambiguous or incomplete to identify a more specific diagnostic protocol skill failure.
Validation Recovery Failure,Precondition Resolution Failure,2,Agent fails to address missing prerequisites or external constraints required before a validated action can succeed.
Validation Recovery Failure,Hard to Analyze,22,Case lacks enough behavioral detail to identify a specific validation recovery skill failure confidently.
Validation Recovery Failure,Invalid Retry Loop,10,Agent repeatedly submits substantially similar invalid calls or arguments instead of adapting after validation errors.
Validation Recovery Failure,Feedback Misinterpretation,3,"Agent draws the wrong meaning from validation feedback, leading to an inappropriate correction or no correction."
Validation Recovery Failure,Parameter Repair Failure,9,"Agent fails to correct invalid argument names, scalar values, enums, ranges, or allowed combinations after validation feedback."
Validation Recovery Failure,Query Repair Failure,8,"Agent fails to revise semantic search, filter, lookup, or retrieval criteria after validation rejects or limits the query."
Validation Recovery Failure,Feedback Ignoring,5,"Agent acknowledges or receives validation feedback but continues without changing inputs, tool use, or strategy."
Validation Recovery Failure,Tool Reselection Error,2,Agent keeps using or switches to an unsuitable tool or operation after validation indicates another action is required.
Validation Recovery Failure,Recovery Completion Failure,1,Agent partially resolves the validation issue but fails to resume and complete the remaining required task steps.
Validation Recovery Failure,Premature Abandonment,1,Agent gives up or reports failure before attempting obvious validation-driven repairs or alternatives.
Validation Recovery Failure,Schema Repair Failure,2,"Agent fails to fix required call structure, data types, nesting, or payload shape after schema validation."
Confirmation Handling Error,Completion Confirmation,2,"Agent fails to clearly communicate whether an approved action succeeded, failed, or remains pending after execution."
Confirmation Handling Error,Consent State Tracking,6,"Agent loses or misapplies consent across turns, repeating confirmed approvals, ignoring denials, or treating stale consent as current after changes."
Confirmation Handling Error,Explicit Consent Acquisition,16,"Agent initiates or attempts an operation without explicit approval for the specific action, payment, irreversible step, or final choice."
Confirmation Handling Error,Material Disclosure,7,"Agent requests or relies on consent before explaining relevant options, fees, risks, terms, limitations, or action consequences."
Confirmation Handling Error,Prerequisite Elicitation,5,Agent fails to gather required inputs or clarifications before deciding whether confirmation can be validly requested or acted upon.
Tool Invocation Error,Parameter Semantics,8,"Agent uses a valid parameter with the wrong meaning, mapping, unit, scope, or interpretation outside specialized query or action arguments."
Tool Invocation Error,Argument Schema Compliance,19,"Agent provides arguments with invalid fields, types, shapes, formats, or constraint violations, excluding missing required inputs."
Tool Invocation Error,Query Construction,18,"Agent misbuilds search, filter, sort, discovery, pagination, or query parameters used to locate or narrow records."
Tool Invocation Error,Terminal Tool Invocation,4,"Agent misuses submit, completion, or finalization tools, including premature completion before required tool work."
Tool Invocation Error,Mutation Argument Binding,10,"Agent supplies incorrect action-specific arguments for payments, approvals, updates, modifications, recordings, or other state-changing operations."
Tool Invocation Error,Tool Envelope Formation,2,"Agent emits malformed tool-call envelopes, return invocations, or call syntax that cannot be parsed or executed."
Tool Invocation Error,Retrieval Targeting,7,"Agent calls direct retrieval tools with the wrong record, message, voicemail, transaction, or other existing target, excluding search queries."
Tool Invocation Error,Required Argument Provision,5,"Agent omits mandatory payloads, target identifiers, or required arguments needed for a valid tool invocation."
Tool Invocation Error,Tool Sequencing,3,"Agent orders tool calls incorrectly or skips prerequisite reads, excluding atomicity, batching, and terminal-finalization errors."
Tool Invocation Error,Atomic Operation Decomposition,1,Agent combines incompatible operations that must be decomposed into separate atomic tool invocations.
Tool Invocation Error,Optional Argument Handling,4,"Agent supplies optional arguments that are syntactically allowed but inappropriate, unnecessary, conflicting, or inconsistent with user intent."
Tool Invocation Error,Single-Call Discipline,13,"Agent issues parallel, concurrent, or batched tool calls when only one call per turn is allowed."
Tool Invocation Error,Capability Boundary Recognition,3,"Agent invokes unsupported tools or features, or assumes API capabilities unavailable in the provided tool set."
Constraint Interpretation Error,Temporal Criteria Handling,10,"Mishandles dates, years, durations, past/future references, authoritative time, or temporal filtering windows."
Constraint Interpretation Error,Scope Boundary Binding,14,"Misbinds constraints to the wrong container, list, order, request, address, return, or source/destination boundary."
Constraint Interpretation Error,Operational Parameter Binding,7,"Misassigns required action parameters such as method, class, baggage option, search setting, or payment source while executing an operation."
Constraint Interpretation Error,Action Permission Gating,8,"Fails conditions, updated requests, single-action limits, mutually exclusive rules, or modification prohibitions governing whether an action is allowed."
Constraint Interpretation Error,Substitution Compatibility Matching,7,"Misinterprets replacement or exchange constraints requiring same order, specification, variant compatibility, or eligible substitute selection."
Constraint Interpretation Error,Semantic Clue Grounding,4,"Fails to map descriptive clues or domain relations, such as area, capital-city status, itinerary, or symbolic meaning, to the intended target."
Constraint Interpretation Error,Quantitative Criteria Evaluation,4,"Mishandles numeric thresholds, uniqueness tests, superlatives, counts, or quantitative representation constraints."
Constraint Interpretation Error,Other,3,
Constraint Interpretation Error,Candidate Filter Application,12,"Omits or misuses inclusion/exclusion filters over candidate records, such as privacy, relationship, liked-state, membership, or transaction attributes."
Constraint Interpretation Error,Constraint Overinference,7,"Adds unsupported constraints, over-literal anchors, or excessive narrowing that rejects valid interpretations."
Constraint Interpretation Error,Preference Compliance,3,"Overrides stated content or format preferences, including adding unwanted details or imposing unsupported response constraints."
Escalation Protocol Error,Need Assessment,8,"Misjudges whether policy, scope, account state, user intent, or resolvability requires escalation rather than self-service."
Escalation Protocol Error,Route Selection,3,"Starts escalation but chooses the wrong team, queue, channel, or supported path for the user's issue."
Escalation Protocol Error,Live-Agent Connection,4,"Mishandles requirements for connecting to a human agent, such as availability checks, wait handling, or live-transfer confirmation."
